,Price,Load_DA_Forecast,Renewables_DA_Forecast
2015-01-01 00:00:00,25.02,41841.89225,8364.60525
2015-01-01 01:00:00,18.29,39969675,8624.796999999999
2015-01-01 02:00:00,16.04,38813.2625,8789.85025
2015-01-01 03:00:00,14.6,38489915,8928.38125
2015-01-01 04:00:00,14.95,38643.5675,9111654
2015-01-01 05:00:00,14.5,38773335,9348945
2015-01-01 06:00:00,10.76,37247.33,9605.83075
2015-01-01 07:00:00,12.01,40371385,9956.59
2015-01-01 08:00:00,12.39,42521965,10421.1055
2015-01-01 09:00:00,14.04,45020.08,11359.892249999999
2015-01-01 10:00:00,14.68,47101.04,12692.186749999999
2015-01-01 11:00:00,16.08,49603.1675,13651.4365
2015-01-01 12:00:00,16.08,49909785,14119.4535
2015-01-01 13:00:00,16.05,47527.9725,14057.96225
2015-01-01 14:00:00,16.04,47096.76,13433.22725
2015-01-01 15:00:00,16.1,47383.2025,12756.0895
2015-01-01 16:00:00,23.93,48935.9125,12744.296499999999
2015-01-01 17:00:00,26.9,52287.9025,13375.13375
2015-01-01 18:00:00,26.36,53367.3275,14231.3375
2015-01-01 19:00:00,23.98,52598.9925,15130.9475
2015-01-01 20:00:00,16.09,50020.3425,16303.1675
2015-01-01 21:00:00,14.08,48096.3075,17679545
2015-01-01 22:00:00,12.44,47803.3575,19052.72
2015-01-01 23:00:00,0.04,44875875,20371215
2015-01-02 00:00:00,-12.11,40078.2475,22953.0155
2015-01-02 01:00:00,-19.63,38711.4375,24709503
2015-01-02 02:00:00,-19.37,37819.9275,25574.88575
2015-01-02 03:00:00,-31.41,37828.2375,26322.1115
2015-01-02 04:00:00,-46.97,38924.74,26976.1075
2015-01-02 05:00:00,-13.48,40502645,27550.95575
2015-01-02 06:00:00,0.08,43400.2575,27871922
2015-01-02 07:00:00,10.06,49039.6425,27892.58975
2015-01-02 08:00:00,14.25,51539.9625,27922.0685
2015-01-02 09:00:00,14.56,53132.8425,28184.64175
2015-01-02 10:00:00,14.64,54445.7575,28411.14725
2015-01-02 11:00:00,15.08,55685.47,28578.740749999997
2015-01-02 12:00:00,15.41,55626.61,28494.138000000003
2015-01-02 13:00:00,14.52,53698095,28006.32325
2015-01-02 14:00:00,14.7,53314595,27143.757250000002
2015-01-02 15:00:00,14.66,53275145,26116.434250000002
2015-01-02 16:00:00,16.09,54490.8375,25592.71775
2015-01-02 17:00:00,25.1,57232.7625,25468.85125
2015-01-02 18:00:00,25.06,57267675,25336.5925
2015-01-02 19:00:00,19.08,55583.5975,25207949
2015-01-02 20:00:00,14.26,51783.64,25014415
2015-01-02 21:00:00,12.22,47797.61,24737.3175
2015-01-02 22:00:00,10.4,45972475,24483315
2015-01-02 23:00:00,-0.33,44474.05,24226785
2015-01-03 00:00:00,-0.08,42341.3425,23948.22325
2015-01-03 01:00:00,-0.07,40962.74,23957.47175
2015-01-03 02:00:00,-5.03,39777215,23250.4165
2015-01-03 03:00:00,0.01,39824.5425,22506.20225
2015-01-03 04:00:00,-0.04,40220.6575,21880461
2015-01-03 05:00:00,0.03,40012.6125,21642.18625
2015-01-03 06:00:00,-8.67,40212905,21620013
2015-01-03 07:00:00,4.46,42881.45,21636.32725
2015-01-03 08:00:00,9.9,46555.99,21686.1895
2015-01-03 09:00:00,14.29,49657.58,22268.44875
2015-01-03 10:00:00,16.73,51738.37,22955.78875
2015-01-03 11:00:00,22.31,52963065,23007.24
2015-01-03 12:00:00,23.03,52562.6175,22275.1775
2015-01-03 13:00:00,22.4,51453555,20913764
2015-01-03 14:00:00,27.07,50239125,18586.306999999997
2015-01-03 15:00:00,29.33,49500.0775,16285.6715
2015-01-03 16:00:00,33.85,50741.7375,14672.14675
2015-01-03 17:00:00,45.96,52568.9625,13375.907000000001
2015-01-03 18:00:00,49.82,52952685,12096.2355
2015-01-03 19:00:00,47.62,51891.1325,11548.08675
2015-01-03 20:00:00,35.98,49039.4525,11792.4425
2015-01-03 21:00:00,27.26,47277.4875,12719.2275
2015-01-03 22:00:00,27.7,46910835,13937925
2015-01-03 23:00:00,14.27,44334.9625,15281.9975
2015-01-04 00:00:00,9.32,41144.4975,17746.967249999998
2015-01-04 01:00:00,0.02,38944755,19467.868250000003
2015-01-04 02:00:00,-0.04,37773295,19349.56025
2015-01-04 03:00:00,0.01,37970.81,19245.87
2015-01-04 04:00:00,0.0,37962.74,19165.1715
2015-01-04 05:00:00,-0.01,37355.75,18906.572249999997
2015-01-04 06:00:00,-3.18,35587.8375,18489.55475
2015-01-04 07:00:00,-0.05,36483.3875,18062485
2015-01-04 08:00:00,0.05,39515045,17781.13375
2015-01-04 09:00:00,9.62,43306275,18486.73125
2015-01-04 10:00:00,11.54,45522.55,19906.74525
2015-01-04 11:00:00,14.68,47889.2,20942.8885
2015-01-04 12:00:00,14.31,48273.43,21133.6315
2015-01-04 13:00:00,11.18,46650.7275,20442.262749999998
2015-01-04 14:00:00,12.01,45203.1825,18875.49425
2015-01-04 15:00:00,14.36,44877.99,16807.7
2015-01-04 16:00:00,17.55,46080.8575,15600.39725
2015-01-04 17:00:00,28.94,49826005,15033.92575
2015-01-04 18:00:00,29.59,51442795,14570.64825
2015-01-04 19:00:00,29.42,50505.7275,13886.17975
2015-01-04 20:00:00,28.92,47804.4025,13127.29175
2015-01-04 21:00:00,28.66,46746.32,12411107
2015-01-04 22:00:00,29.74,46885355,11885.52825
2015-01-04 23:00:00,24.9,44659.6475,11467.79875
2015-01-05 00:00:00,22.34,43176.1725,10565.66975
2015-01-05 01:00:00,17.93,41597.5825,10851.39375
2015-01-05 02:00:00,15.17,40421.5925,10981.54675
2015-01-05 03:00:00,16.38,40404355,11159.80475
2015-01-05 04:00:00,17.38,41348.13,11371.4805
2015-01-05 05:00:00,16.38,43645.2575,11380.82975
2015-01-05 06:00:00,26.61,49070495,11145.20775
2015-01-05 07:00:00,37.63,53972.1675,10712.0165
2015-01-05 08:00:00,39.09,56336.2875,10322.85125
2015-01-05 09:00:00,41.51,57556195,11017.202249999998
2015-01-05 10:00:00,40.46,58952.32,12242.40425
2015-01-05 11:00:00,40.97,60158.62,13118199
2015-01-05 12:00:00,40.72,60633.8175,13155973
2015-01-05 13:00:00,41.92,59364.95,11841901
2015-01-05 14:00:00,42.0,57531.0025,9469.45325
2015-01-05 15:00:00,43.1,58482.95,6829.25475
2015-01-05 16:00:00,46.7,58322.2225,4920.83475
2015-01-05 17:00:00,56.78,59898165,4129408
2015-01-05 18:00:00,58.84,60886.2425,3731.06425
2015-01-05 19:00:00,49.23,60314.0775,3433.13
2015-01-05 20:00:00,44.32,56841.95,3216.64075
2015-01-05 21:00:00,40.0,54007215,2958.7685
2015-01-05 22:00:00,35.08,52061025,2754235
2015-01-05 23:00:00,30.03,47866.8425,2522.16
2015-01-06 00:00:00,30.02,45215.5325,2338.95325
2015-01-06 01:00:00,30.57,43977.99,2304.1945
2015-01-06 02:00:00,30.25,42823335,2216.0370000000003
2015-01-06 03:00:00,30.29,42724.5175,2096.2129999999997
2015-01-06 04:00:00,30.63,43610.79,2014.1965
2015-01-06 05:00:00,29.64,45897.86,2083.28975
2015-01-06 06:00:00,29.67,50678665,2308.5612499999997
2015-01-06 07:00:00,38.82,55554.1575,2562.53125
2015-01-06 08:00:00,40.76,58355.2175,3082.5155
2015-01-06 09:00:00,40.02,59792.1475,5322.41725
2015-01-06 10:00:00,33.99,61041.03,8165.803749999999
2015-01-06 11:00:00,31.22,62314.48,10133.9045
2015-01-06 12:00:00,30.06,62185.6425,10642.908749999999
2015-01-06 13:00:00,29.99,61094.78,9653538
2015-01-06 14:00:00,30.73,58461555,7943.7564999999995
2015-01-06 15:00:00,37.38,59445.0675,6123.44025
2015-01-06 16:00:00,40.32,59201.9575,5347.69325
2015-01-06 17:00:00,45.96,60849.45,5822.87575
2015-01-06 18:00:00,45.71,61763.4825,6479.50125
2015-01-06 19:00:00,39.57,61419655,6824186
2015-01-06 20:00:00,32.92,58256.3575,6909.04
2015-01-06 21:00:00,29.15,55363.91,7002.9825
2015-01-06 22:00:00,28.46,53445.9675,6977.8275
2015-01-06 23:00:00,26.97,49225.2,6821.2225
2015-01-07 00:00:00,24.97,45967655,7932239
2015-01-07 01:00:00,24.65,43795.7625,8809.45475
2015-01-07 02:00:00,24.68,42782.3625,8540.5885
2015-01-07 03:00:00,25.06,42936.9525,8404.64925
2015-01-07 04:00:00,26.1,44664.5075,8319.88775
2015-01-07 05:00:00,26.95,47122435,8025.30625
2015-01-07 06:00:00,31.43,52973155,7768534
2015-01-07 07:00:00,45.98,58620.3725,7506.73725
2015-01-07 08:00:00,47.91,60736.0325,7240.1142500000005
2015-01-07 09:00:00,48.91,61358.9525,7597486
2015-01-07 10:00:00,50.0,62353.8875,8503.8475
2015-01-07 11:00:00,51.22,63591355,9400.61975
2015-01-07 12:00:00,50.15,63253.7275,9874.66275
2015-01-07 13:00:00,51.46,62404.6375,9646.843499999999
2015-01-07 14:00:00,50.88,61971.83,8881.1675
2015-01-07 15:00:00,48.0,61780445,7880.65625
2015-01-07 16:00:00,47.14,62058.9675,7414.3955
2015-01-07 17:00:00,51.07,64334.3975,7874905
2015-01-07 18:00:00,47.42,64332605,8616.72725
2015-01-07 19:00:00,44.83,62484.49,9413.83575
2015-01-07 20:00:00,33.86,58404.6975,10300785
2015-01-07 21:00:00,27.42,55377.66,11268.05
2015-01-07 22:00:00,27.02,53229.4475,12197.1425
2015-01-07 23:00:00,22.11,49272.3775,13146.9475
2015-01-08 00:00:00,21.92,46999.7925,14908.9195
