0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246
33.88,32.47,32.1,37.37,33.16,29.57,31.45,35.03,32.98,28.14,30.67,35.73,34.96,26.2,28.92,33.29,34.0,27.76,30.39,34.0,35.9,33.27,34.14,34.63,48.52,40.6,45.65,41.47,60.6,46.46,50.58,46.2,64.98,46.37,50.48,46.96,61.99,42.5,49.99,44.91,57.98,40.81,47.91,35.91,53.83,40.83,46.23,33.67,49.58,41.96,45.0,32.94,48.45,40.92,42.48,33.15,46.99,40.91,41.65,33.5,47.66,42.36,41.67,38.27,47.77,41.85,42.49,40.51,53.63,46.04,46.96,42.99,62.81,50.92,50.24,47.66,60.94,51.43,49.94,45.3,48.86,44.99,42.47,34.9,39.59,43.04,39.49,32.08,34.16,40.76,37.6,31.71,29.55,36.36,30.77,28.51,49584.27,11060.7225,55090.0375,12559.41,16679.8775,47714.845,10273.625,53130.035,13694.195,18061.4275,46940.1875,9590.8,52270.04,14372.435,19288.645,47439.2325,8982.6825,52467.265,14987.53,20429.9675,48900.6675,8180.2475,53631.8275,15359.6325,21600.5725,52323.8875,7187.2775,56745.455,15696.05,22853.8025,59724.815,6265.2425,63808.5625,16189.73,24189.6375,64984.6525,6078.445,68767.555,17833.4425,26660.8875,67853.6375,7307.4825,71261.91,21685.8725,31530.175,68201.48,9133.055,71833.435,26577.9225,36844.8825,69234.97,10806.0,72615.87,31318.3875,41183.96,70502.49,11741.7625,73041.36,34267.0,43558.1425,70433.2975,11935.15,72504.82,35269.6025,44134.895,69560.7275,11574.115,72123.095,34425.5025,43402.75,67786.66,10547.775,71037.0275,31955.1825,41527.045,66536.1325,8611.1025,70000.9575,28191.34,38370.05,65494.3725,6140.515,69010.4025,24105.7425,34401.44,65858.1675,4066.0375,69931.0225,21638.4,30959.705,67628.05,4381.275,71605.0525,22322.8225,29973.045,68339.265,6604.8575,71631.3625,23934.715,30008.31,64457.0875,9176.665,67800.915,24999.7125,29998.6475,61171.6875,11678.1275,64471.8575,25740.815,29949.14,58534.76,13379.3125,61943.8525,26080.945,29538.4525,53650.3625,14738.3925,57632.1525,25889.41,28926.7275,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.36,33.88,32.47,15.72,20.41,33.16,29.57,14.79,18.42,32.98,28.14,13.7,14.91,34.96,26.2,12.76,13.25,34.0,27.76,24.37,18.35,35.9,33.27,31.02,32.76,48.52,40.6,33.98,40.49,60.6,46.46,41.98,39.99,64.98,46.37,43.93,30.0,61.99,42.5,41.94,19.48,57.98,40.81,40.69,15.2,53.83,40.83,39.81,13.65,49.58,41.96,37.33,13.56,48.45,40.92,39.72,18.85,46.99,40.91,40.38,21.25,47.66,42.36,42.19,24.0,47.77,41.85,44.46,30.62,53.63,46.04,46.54,39.55,62.81,50.92,58.6,38.86,60.94,51.43,53.12,30.36,48.86,44.99,48.88,29.07,39.59,43.04,44.21,25.66,34.16,40.76,41.08,17.02,29.55,36.36,38.66,51487.55,16679.8775,54410.7625,26737.0825,27688.29,49558.9975,18061.4275,52506.015,26630.51,27272.5675,48784.8125,19288.645,51547.415,26444.2825,26819.425,49247.28,20429.9675,51807.0975,26357.9825,26498.48,50676.7125,21600.5725,53144.25,26006.005,26266.805,54023.3925,22853.8025,56039.52,25350.12,26160.3075,60907.7225,24189.6375,62867.56,24711.0175,26211.8825,65927.385,26660.8875,67882.745,24871.705,26914.225,68448.03,31530.175,70370.7025,26529.4825,28302.41,68919.6425,36844.8825,71095.0625,28478.0325,30043.6575,70095.96,41183.96,71986.655,30125.2525,31876.62,71085.4675,43558.1425,72447.8925,30724.195,33488.6475,70545.09,44134.895,71717.015,29654.7125,34545.5,69514.1125,43402.75,70443.85,26817.5425,34951.26,68251.6475,41527.045,68860.0075,21988.9775,34458.6875,67455.7925,38370.05,67579.925,16143.5325,33009.215,66311.225,34401.44,66866.1125,10766.975,31047.4875,66819.32,30959.705,67749.6175,6632.905,29371.98,68476.7725,29973.045,69172.5075,5086.685,29047.8075,69015.105,30008.31,68859.9875,4755.135,29460.19,65180.5125,29998.6475,64988.5475,4749.9375,29603.84,61781.52,29949.14,61675.64,4856.12,29705.12,59172.0775,29538.4525,59691.5075,5451.415,29640.7425,54547.475,28926.7275,55494.43,6266.0275,29645.6975,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.08,25.36,33.88,33.1,12.01,20.41,33.16,31.29,8.06,18.42,32.98,30.85,10.84,14.91,34.96,29.06,13.4,13.25,34.0,30.0,24.49,18.35,35.9,28.46,37.76,32.76,48.52,29.66,45.86,40.49,60.6,30.74,47.98,39.99,64.98,33.96,44.97,30.0,61.99,36.01,44.0,19.48,57.98,37.52,42.0,15.2,53.83,37.39,38.1,13.65,49.58,36.6,31.97,13.56,48.45,35.64,27.09,18.85,46.99,34.01,26.67,21.25,47.66,34.03,30.85,24.0,47.77,36.4,37.09,30.62,53.63,38.67,40.23,39.55,62.81,42.04,38.38,38.86,60.94,44.0,36.95,30.36,48.86,39.7,20.74,29.07,39.59,35.44,21.62,25.66,34.16,34.5,10.6,17.02,29.55,35.19,52261.5875,27688.29,53120.9925,7901.6125,28866.8625,50281.4025,27272.5675,50859.89,8987.165,28901.4575,49553.725,26819.425,49652.4075,10119.8725,29391.7475,50051.9125,26498.48,49498.2575,11180.695,30073.8225,51598.385,26266.805,49672.755,12286.26,30821.9175,54776.45,26160.3075,50150.6075,13447.0025,31488.92,61752.9575,26211.8825,51877.8375,14461.265,32317.18,66167.72,26914.225,53889.915,15614.89,34327.1425,68462.41,28302.41,56760.18,16985.15,37710.225,69069.0725,30043.6575,59390.4175,18323.625,40979.7575,70192.315,31876.62,60764.7875,19305.08,43532.3025,70792.37,33488.6475,61494.5725,19629.385,44977.325,70033.495,34545.5,60670.375,19154.15,45420.175,69027.9175,34951.26,58987.88,17887.2225,45266.9,67288.615,34458.6875,57172.9475,16177.0225,44364.415,66011.9025,33009.215,56890.055,14079.0,42746.75,65275.4925,31047.4875,57322.15,12256.1625,40521.3975,66044.2025,29371.98,58674.785,11380.2475,38391.12,67148.425,29047.8075,61111.4325,11520.3425,37456.245,67314.8425,29460.19,60482.8375,11915.945,37316.5,63517.17,29603.84,57113.3225,12085.63,37282.5325,60097.985,29705.12,54868.8575,12178.7825,37205.785,57781.0975,29640.7425,54015.4625,12089.8075,36830.04,53408.15,29645.6975,50554.375,11709.845,36407.1225,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.26,12.08,25.36,32.26,5.56,12.01,20.41,27.14,0.08,8.06,18.42,25.65,0.02,10.84,14.91,26.2,-5.0,13.4,13.25,25.06,-11.86,24.49,18.35,24.92,-0.71,37.76,32.76,25.81,10.76,45.86,40.49,27.61,10.01,47.98,39.99,29.31,9.8,44.97,30.0,30.15,10.0,44.0,19.48,28.97,10.73,42.0,15.2,27.1,8.92,38.1,13.65,24.15,1.42,31.97,13.56,20.81,-0.46,27.09,18.85,21.69,1.78,26.67,21.25,27.56,1.58,30.85,24.0,31.01,6.91,37.09,30.62,31.9,12.97,40.23,39.55,35.7,13.17,38.38,38.86,38.06,1.09,36.95,30.36,34.02,-2.51,20.74,29.07,30.62,2.05,21.62,25.66,32.59,-4.09,10.6,17.02,31.01,51337.8325,28866.8625,47741.8225,12122.1025,36437.905,49154.08,28901.4575,45589.77,11307.665,36115.595,48170.195,29391.7475,44424.7575,10324.8825,36105.1525,48198.52,30073.8225,44219.245,9491.6775,35932.5325,48592.1025,30821.9175,44313.0575,8953.61,35813.685,49048.655,31488.92,44264.1975,8893.975,35735.5325,50414.875,32317.18,43807.32,8958.9925,35883.305,52991.35,34327.1425,45438.81,10372.6,37587.255,56461.43,37710.225,49001.2275,13804.36,41047.66,59474.855,40979.7575,52384.18,17311.485,44470.57,60991.15,43532.3025,54407.61,20188.085,46909.0525,61854.0525,44977.325,56371.115,22027.3,48218.5475,61132.9725,45420.175,55814.4725,22468.9625,48550.6125,59497.7375,45266.9,53889.4925,21445.175,47825.8325,57870.3675,44364.415,51989.5625,19301.7625,45782.27,57395.745,42746.75,51539.3925,16654.5975,42434.2825,57452.1525,40521.3975,52099.175,14214.345,37942.74,58241.335,38391.12,53864.755,13553.28,33377.2875,60114.53,37456.245,57303.53,15089.0125,30440.88,60490.1475,37316.5,57562.7225,16305.97,28841.51,57065.1075,37282.5325,55443.905,16023.865,27489.51,54426.545,37205.785,53777.2425,15139.45,26082.1975,53174.635,36830.04,53495.6075,13859.56,24329.7925,49518.0475,36407.1225,50089.31,12169.98,22276.2825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.0,13.26,12.08,32.1,-12.12,5.56,12.01,31.45,-9.63,0.08,8.06,30.67,-9.61,0.02,10.84,28.92,-9.25,-5.0,13.4,30.39,-9.64,-11.86,24.49,34.14,-14.42,-0.71,37.76,45.65,-27.18,10.76,45.86,50.58,-19.95,10.01,47.98,50.48,-24.22,9.8,44.97,49.99,-29.99,10.0,44.0,47.91,0.0,10.73,42.0,46.23,-0.05,8.92,38.1,45.0,-18.22,1.42,31.97,42.48,-9.79,-0.46,27.09,41.65,-22.95,1.78,26.67,41.67,4.74,1.58,30.85,42.49,23.11,6.91,37.09,46.96,40.38,12.97,40.23,50.24,41.06,13.17,38.38,49.94,39.78,1.09,36.95,42.47,38.05,-2.51,20.74,39.49,38.06,2.05,21.62,37.6,36.88,-4.09,10.6,30.77,46293.665,36437.905,47991.69,7735.465,20442.8225,44391.8425,36115.595,46487.7275,6165.03,18389.7925,43414.3625,36105.1525,45823.7525,5196.485,16763.965,43289.5675,35932.5325,46270.1675,4538.2025,15611.6775,43576.0125,35813.685,47971.345,4198.8375,14717.2875,43576.225,35735.5325,51930.9425,4346.715,13926.83,43460.5625,35883.305,60380.5,4806.8475,13206.63,45804.0925,37587.255,65601.1975,5745.48,14312.95,50005.6375,41047.66,68032.05,7467.785,17114.27,53275.4275,44470.57,68620.72,9577.16,20189.1175,55814.335,46909.0525,69158.415,11971.195,22495.93,57742.3,48218.5475,70097.315,14177.02,23873.13,57410.41,48550.6125,69624.765,15814.065,24234.075,55821.165,47825.8325,68761.8325,16792.7775,23508.365,54285.7675,45782.27,67184.29,16911.9725,21738.825,53902.27,42434.2825,66299.1425,15910.3925,18648.4725,53889.2825,37942.74,64223.8025,14093.2875,14501.5325,55449.47,33377.2875,63567.0175,12272.52,10933.6425,58180.5475,30440.88,65824.3525,11794.1575,9699.7675,59111.79,28841.51,66959.2275,12587.7775,10293.4375,56733.545,27489.51,64380.3825,13822.62,11017.3325,54545.7025,26082.1975,61260.155,14934.41,11679.515,53916.8475,24329.7925,58360.1275,15929.4525,12052.96,50217.7725,22276.2825,53902.95,16717.7425,12377.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.09,-2.0,13.26,32.47,31.2,-12.12,5.56,29.57,33.35,-9.63,0.08,28.14,33.44,-9.61,0.02,26.2,31.27,-9.25,-5.0,27.76,38.18,-9.64,-11.86,33.27,50.06,-14.42,-0.71,40.6,59.93,-27.18,10.76,46.46,63.28,-19.95,10.01,46.37,53.41,-24.22,9.8,42.5,48.53,-29.99,10.0,40.81,46.84,0.0,10.73,40.83,47.04,-0.05,8.92,41.96,47.54,-18.22,1.42,40.92,45.95,-9.79,-0.46,40.91,50.03,-22.95,1.78,42.36,50.99,4.74,1.58,41.85,57.18,23.11,6.91,46.04,73.0,40.38,12.97,50.92,98.19,41.06,13.17,51.43,59.98,39.78,1.09,44.99,48.96,38.05,-2.51,43.04,42.05,38.06,2.05,40.76,37.36,36.88,-4.09,36.36,47917.92,20442.8225,51721.3675,17222.325,12645.5475,46367.1925,18389.7925,49490.925,17634.4825,13228.885,45876.0175,16763.965,48637.8925,17922.745,14020.7,46356.8825,15611.6775,49125.9825,18319.875,14892.1125,48044.455,14717.2875,50551.4075,18569.6025,15514.9275,51710.39,13926.83,53953.2625,18692.225,16198.045,59432.0825,13206.63,61053.99,18804.2125,17171.44,64791.86,14312.95,66384.9275,20026.045,19191.2375,67778.4725,17114.27,69393.355,22488.645,22721.22,68919.03,20189.1175,69799.9275,24914.5175,26613.225,70058.1075,22495.93,70717.1175,26660.3375,30085.815,71195.8425,23873.13,71463.4725,27234.3925,32690.96,70892.8725,24234.075,70949.11,26819.4975,34563.485,70118.485,23508.365,70207.18,26032.8925,34718.2475,68476.255,21738.825,68568.705,25061.69,32821.77,67204.42,18648.4725,67767.095,23582.4625,29300.035,66386.5775,14501.5325,66808.185,21622.1975,24026.9425,67085.215,10933.6425,66875.3125,19585.345,18299.775,68487.6625,9699.7675,68648.4525,18513.97,14914.4775,69170.805,10293.4375,69069.33,17728.395,13720.2925,65633.4225,11017.3325,65256.65,16796.7225,12698.175,62180.5075,11679.515,61968.32,15766.15,11505.2775,59257.1,12052.96,59356.0075,14746.22,10112.9825,54765.53,12377.9,54691.1525,13809.4475,8529.565,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.95,31.09,-2.0,33.88,37.53,31.2,-12.12,33.16,37.06,33.35,-9.63,32.98,36.59,33.44,-9.61,34.96,36.59,31.27,-9.25,34.0,38.09,38.18,-9.64,35.9,42.14,50.06,-14.42,48.52,49.95,59.93,-27.18,60.6,49.85,63.28,-19.95,64.98,42.95,53.41,-24.22,61.99,38.02,48.53,-29.99,57.98,38.09,46.84,0.0,53.83,38.0,47.04,-0.05,49.58,36.48,47.54,-18.22,48.45,37.08,45.95,-9.79,46.99,36.74,50.03,-22.95,47.66,38.09,50.99,4.74,47.77,47.12,57.18,23.11,53.63,56.92,73.0,40.38,62.81,64.92,98.19,41.06,60.94,54.88,59.98,39.78,48.86,50.25,48.96,38.05,39.59,44.72,42.05,38.06,34.16,39.6,37.36,36.88,29.55,52365.4175,12645.5475,49584.27,11060.7225,6489.6,50699.9025,13228.885,47714.845,10273.625,5385.65,49971.35,14020.7,46940.1875,9590.8,4748.1675,50364.1975,14892.1125,47439.2325,8982.6825,4395.0675,51785.3325,15514.9275,48900.6675,8180.2475,4330.38,54893.5175,16198.045,52323.8875,7187.2775,4491.43,61927.2625,17171.44,59724.815,6265.2425,5083.47,66704.8125,19191.2375,64984.6525,6078.445,7736.78,69325.5125,22721.22,67853.6375,7307.4825,12177.88,70191.88,26613.225,68201.48,9133.055,16776.505,71246.8675,30085.815,69234.97,10806.0,20763.5175,71904.8075,32690.96,70502.49,11741.7625,23572.43,71596.0875,34563.485,70433.2975,11935.15,24793.9825,70955.7375,34718.2475,69560.7275,11574.115,24505.7175,69880.3225,32821.77,67786.66,10547.775,22939.33,68782.52,29300.035,66536.1325,8611.1025,20010.7,67471.4775,24026.9425,65494.3725,6140.515,15736.0475,67800.0675,18299.775,65858.1675,4066.0375,11689.31,69213.7125,14914.4775,67628.05,4381.275,10347.7875,69902.6225,13720.2925,68339.265,6604.8575,11327.18,66263.595,12698.175,64457.0875,9176.665,12607.3475,62889.7125,11505.2775,61171.6875,11678.1275,13735.0725,60292.8375,10112.9825,58534.76,13379.3125,14751.075,55772.105,8529.565,53650.3625,14738.3925,15519.3775,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.77,38.95,31.09,25.36,40.53,37.53,31.2,20.41,40.74,37.06,33.35,18.42,40.08,36.59,33.44,14.91,40.07,36.59,31.27,13.25,41.38,38.09,38.18,18.35,57.15,42.14,50.06,32.76,71.0,49.95,59.93,40.49,78.33,49.85,63.28,39.99,70.05,42.95,53.41,30.0,57.96,38.02,48.53,19.48,51.15,38.09,46.84,15.2,46.13,38.0,47.04,13.65,42.27,36.48,47.54,13.56,42.11,37.08,45.95,18.85,47.91,36.74,50.03,21.25,49.22,38.09,50.99,24.0,57.95,47.12,57.18,30.62,69.88,56.92,73.0,39.55,78.91,64.92,98.19,38.86,58.46,54.88,59.98,30.36,44.94,50.25,48.96,29.07,39.93,44.72,42.05,25.66,37.06,39.6,37.36,17.02,54629.4675,6489.6,51487.55,16679.8775,19297.1225,52663.31,5385.65,49558.9975,18061.4275,20400.595,51847.1975,4748.1675,48784.8125,19288.645,21419.8225,52251.2425,4395.0675,49247.28,20429.9675,22549.365,53484.9725,4330.38,50676.7125,21600.5725,23617.3025,56463.8875,4491.43,54023.3925,22853.8025,24419.4875,62995.7975,5083.47,60907.7225,24189.6375,25402.6125,67718.75,7736.78,65927.385,26660.8875,26817.9875,69841.3625,12177.88,68448.03,31530.175,29151.045,70228.61,16776.505,68919.6425,36844.8825,31386.8325,70833.9,20763.5175,70095.96,41183.96,32394.195,71280.085,23572.43,71085.4675,43558.1425,31982.15,70863.4825,24793.9825,70545.09,44134.895,30382.865,70207.7675,24505.7175,69514.1125,43402.75,27648.3375,68867.9175,22939.33,68251.6475,41527.045,23924.4475,67964.7475,20010.7,67455.7925,38370.05,20051.15,67049.8775,15736.0475,66311.225,34401.44,16308.1175,67675.17,11689.31,66819.32,30959.705,13099.715,69103.7575,10347.7875,68476.7725,29973.045,10798.3,70158.095,11327.18,69015.105,30008.31,9184.5425,66850.8225,12607.3475,65180.5125,29998.6475,7879.31,63416.04,13735.0725,61781.52,29949.14,6831.8575,61091.725,14751.075,59172.0775,29538.4525,6020.895,56937.455,15519.3775,54547.475,28926.7275,5341.7125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33.05,40.77,38.95,12.08,33.06,40.53,37.53,12.01,26.09,40.74,37.06,8.06,21.49,40.08,36.59,10.84,22.13,40.07,36.59,13.4,30.0,41.38,38.09,24.49,35.7,57.15,42.14,37.76,39.2,71.0,49.95,45.86,40.11,78.33,49.85,47.98,37.01,70.05,42.95,44.97,35.92,57.96,38.02,44.0,37.08,51.15,38.09,42.0,38.06,46.13,38.0,38.1,39.97,42.27,36.48,31.97,41.22,42.11,37.08,27.09,42.99,47.91,36.74,26.67,47.98,49.22,38.09,30.85,57.92,57.95,47.12,37.09,70.26,69.88,56.92,40.23,93.43,78.91,64.92,38.38,64.99,58.46,54.88,36.95,58.42,44.94,50.25,20.74,53.33,39.93,44.72,21.62,46.77,37.06,39.6,10.6,53409.8,19297.1225,52261.5875,27688.29,4963.8725,51498.66,20400.595,50281.4025,27272.5675,4416.455,50741.865,21419.8225,49553.725,26819.425,4135.8275,51136.4025,22549.365,50051.9125,26498.48,3952.85,52488.79,23617.3025,51598.385,26266.805,3847.725,55605.1775,24419.4875,54776.45,26160.3075,3776.2525,61936.805,25402.6125,61752.9575,26211.8825,3906.5475,67233.3225,26817.9875,66167.72,26914.225,4685.7475,70446.8325,29151.045,68462.41,28302.41,5992.08,71124.9925,31386.8325,69069.0725,30043.6575,7859.71,72029.8725,32394.195,70192.315,31876.62,10022.4325,72651.315,31982.15,70792.37,33488.6475,11989.685,71957.81,30382.865,70033.495,34545.5,13266.6725,71303.6275,27648.3375,69027.9175,34951.26,13724.145,70262.505,23924.4475,67288.615,34458.6875,13210.0575,69072.1375,20051.15,66011.9025,33009.215,11552.0975,67575.82,16308.1175,65275.4925,31047.4875,9133.6725,68203.865,13099.715,66044.2025,29371.98,6636.8375,69164.7325,10798.3,67148.425,29047.8075,5403.1975,69866.9325,9184.5425,67314.8425,29460.19,5336.655,66305.5875,7879.31,63517.17,29603.84,5495.3525,62951.74,6831.8575,60097.985,29705.12,5669.6025,60438.7225,6020.895,57781.0975,29640.7425,5657.565,56116.4925,5341.7125,53408.15,29645.6975,5366.3675,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.39,33.05,40.77,13.26,41.12,33.06,40.53,5.56,40.95,26.09,40.74,0.08,40.49,21.49,40.08,0.02,40.55,22.13,40.07,-5.0,42.78,30.0,41.38,-11.86,55.87,35.7,57.15,-0.71,65.62,39.2,71.0,10.76,70.42,40.11,78.33,10.01,65.72,37.01,70.05,9.8,60.4,35.92,57.96,10.0,57.57,37.08,51.15,10.73,52.53,38.06,46.13,8.92,50.35,39.97,42.27,1.42,49.23,41.22,42.11,-0.46,49.15,42.99,47.91,1.78,49.48,47.98,49.22,1.58,57.99,57.92,57.95,6.91,60.73,70.26,69.88,12.97,70.72,93.43,78.91,13.17,60.94,64.99,58.46,1.09,51.79,58.42,44.94,-2.51,48.56,53.33,39.93,2.05,45.01,46.77,37.06,-4.09,53189.135,4963.8725,51337.8325,28866.8625,5000.3225,51254.8425,4416.455,49154.08,28901.4575,4808.6,50552.5175,4135.8275,48170.195,29391.7475,4672.025,50990.5925,3952.85,48198.52,30073.8225,4477.6725,52363.355,3847.725,48592.1025,30821.9175,4377.365,55420.2775,3776.2525,49048.655,31488.92,4403.8975,62219.6275,3906.5475,50414.875,32317.18,4678.285,66334.7625,4685.7475,52991.35,34327.1425,6634.495,68524.0075,5992.08,56461.43,37710.225,10147.925,69054.9325,7859.71,59474.855,40979.7575,14213.5275,69924.6625,10022.4325,60991.15,43532.3025,17902.4525,70621.385,11989.685,61854.0525,44977.325,20016.5525,70020.8925,13266.6725,61132.9725,45420.175,20335.4025,68886.15,13724.145,59497.7375,45266.9,19196.33,67397.015,13210.0575,57870.3675,44364.415,16705.13,66171.06,11552.0975,57395.745,42746.75,12934.125,65231.0925,9133.6725,57452.1525,40521.3975,8345.82,66011.915,6636.8375,58241.335,38391.12,4333.53,67354.3275,5403.1975,60114.53,37456.245,2801.625,68120.5175,5336.655,60490.1475,37316.5,3313.235,64202.9,5495.3525,57065.1075,37282.5325,3691.5975,60801.67,5669.6025,54426.545,37205.785,3964.02,58648.475,5657.565,53174.635,36830.04,4045.1325,54503.82,5366.3675,49518.0475,36407.1225,3856.48,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
