0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246
20.18,26.91,30.08,22.48,12.62,23.06,30.89,21.71,12.61,22.27,30.01,12.9,10.96,22.97,29.09,12.81,14.04,26.66,30.29,19.04,25.97,27.03,32.24,24.01,35.05,29.07,38.94,32.0,45.9,31.0,37.9,36.79,43.83,36.06,41.09,38.91,35.59,35.16,39.92,38.69,32.33,32.37,37.98,38.36,32.36,33.08,39.97,33.52,31.32,29.79,36.95,28.51,32.49,29.06,34.14,25.97,33.94,29.18,35.65,27.09,39.1,30.01,38.99,26.99,45.95,36.93,42.45,30.01,51.91,42.49,46.92,37.8,51.92,43.93,47.36,44.93,50.07,41.97,44.31,46.93,46.01,36.52,39.0,44.18,42.06,30.07,37.1,35.99,36.12,27.02,34.98,32.04,35.45,18.97,30.82,19.17,44448895.0,20653.730000000003,48129415.0,18053.8225,48203.86,5598.0675,43025675.0,20195.26,45854175.0,18744.8525,45553895.0,4566.2425,42567.0075,20510.135,44937.3075,19654.1,44262.4625,3971.2575,43115.4825,20630.2175,45381395.0,20282.7,44131.5925,3460.6130000000003,44838515.0,20222235.0,46685845.0,21097.6375,45249.1375,3066.6475,48994.6275,19672.9475,50176.3875,21873.5625,48257.7975,2751.2787500000004,58482935.0,19226805.0,57848.7925,22713.5475,55350.7325,2492.0550000000003,63062.6825,18970.3825,65176.18,23536.3375,62504.6125,2526.7225,63815.89,20580.6925,68137.1425,24536.5775,65484.26,4047.86525,64812.87,23428.79,68602.6225,26664.9475,66864.3925,6706.9945,66167.0175,26276.910000000003,69915.74,29929.1925,67629.9325,9295.1175,67294.26,28343.41,70848395.0,33086.77,68558.13,11102.0775,66927.6725,28254.0775,70141.4425,35589.4675,67933025.0,11767.775,66001755.0,26176.0525,68889.75,36385935.0,66791.2625,11260.42,64271.99,22344325.0,67244545.0,35475.0025,64972.5225,9595885.0,63760145.0,17698.2875,66274.7475,32669.834999999995,63766.7525,7008.5275,63397755.0,14088.44,65231.68,28040.792500000003,63425.0725,5098.8,64581.5225,12813.7325,64622.7175,23154.4825,63741235.0,5492.1425,65867.77,12327.55,65723.76,20526235.0,65481.4525,6611.05,64889.41,11797.3275,65802.4275,19325.2775,64297735.0,7651455.0,61082515.0,10936015.0,62215005.0,18747.5725,60591.9475,8295475.0,57661.2925,10014.9,58410.08,18618.1425,57036.48,8813.2925,54273.5275,9100.1975,55545205.0,18989.9675,54266.26,9081.4425,49732.08,8197.08,51168.3725,19702.4725,50419.5225,9042475.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36.07,20.18,26.91,16.04,36.09,12.62,23.06,9.41,36.13,12.61,22.27,0.03,36.09,10.96,22.97,-9.69,38.24,14.04,26.66,-13.02,40.66,25.97,27.03,-15.01,52.97,35.05,29.07,-9.6,61.74,45.9,31.0,0.12,65.8,43.83,36.06,0.12,62.18,35.59,35.16,5.41,58.69,32.33,32.37,0.27,58.67,32.36,33.08,0.11,54.55,31.32,29.79,-0.1,51.5,32.49,29.06,-13.38,51.17,33.94,29.18,-31.42,56.64,39.1,30.01,-17.03,60.88,45.95,36.93,-4.02,66.0,51.91,42.49,0.08,68.68,51.92,43.93,7.56,58.63,50.07,41.97,8.89,49.01,46.01,36.52,0.23,39.01,42.06,30.07,-38.19,36.11,36.12,27.02,-49.98,34.97,35.45,18.97,-70.09,48203.86,5598.0675,47781.7225,21276995.0,46191.0325,9413.2575,45553895.0,4566.2425,45324.17,21643525.0,44130.0275,9528.34,44262.4625,3971.2575,44053.6,23260.8725,43093315.0,9158.21,44131.5925,3460.6130000000003,44007135.0,24424.7875,43064.7575,8641.76,45249.1375,3066.6475,44257.8575,25677.9125,43604.9025,8267.17,48257.7975,2751.2787500000004,44820095.0,27035275.0,44675.28,8224.8275,55350.7325,2492.0550000000003,46175765.0,28329.4125,46854.4275,8361645.0,62504.6125,2526.7225,50064.6225,29600.425000000003,51533.92,8766.2225,65484.26,4047.86525,53871.0675,31213.0675,56155.3025,10867.0375,66864.3925,6706.9945,56503695.0,34157.9275,58758995.0,13964.74,67629.9325,9295.1175,58414.9925,37649.4625,60402.7725,16618.697500000002,68558.13,11102.0775,59715.96,40314.7275,61671.7225,18047745.0,67933025.0,11767.775,59353.73,41876.5375,60999.7925,18309.1,66791.2625,11260.42,57380805.0,42315.64,59330.01,17719.5,64972.5225,9595885.0,55469.3275,41692.600000000006,57538.8675,16551.2075,63766.7525,7008.5275,55105.14,40270235.0,57085.8175,15205855.0,63425.0725,5098.8,55046.41,38539.22,57610.5675,14929.225000000002,63741235.0,5492.1425,56110105.0,37279.4275,60300.6175,17023.3925,65481.4525,6611.05,58174.57,37079.3925,61611.7325,19443.7525,64297735.0,7651455.0,58074.1925,37361.9175,60244.5025,21110.9825,60591.9475,8295475.0,54982.64,37709.075,56849.5475,21861.2475,57036.48,8813.2925,52144.7025,38078.6775,54427.4225,22262.745000000003,54266.26,9081.4425,50823.56,38658.065,52943.28,21845245.0,50419.5225,9042475.0,46814.2025,39273.8775,48687395.0,20637015.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36.16,36.07,20.18,-79.94,35.06,36.09,12.62,-83.0,34.42,36.13,12.61,-83.03,33.61,36.09,10.96,-83.03,33.4,38.24,14.04,-83.04,33.22,40.66,25.97,-83.02,33.73,52.97,35.05,-83.01,37.63,61.74,45.9,-80.0,42.99,65.8,43.83,-79.96,40.39,62.18,35.59,-76.02,39.84,58.69,32.33,-67.08,37.02,58.67,32.36,-81.95,36.1,54.55,31.32,-67.07,34.33,51.5,32.49,-80.07,34.34,51.17,33.94,-79.95,35.04,56.64,39.1,-76.06,37.03,60.88,45.95,-0.92,43.94,66.0,51.91,8.51,35.51,68.68,51.92,27.62,32.25,58.63,50.07,29.77,28.83,49.01,46.01,22.06,26.77,39.01,42.06,17.0,26.53,36.11,36.12,12.44,20.65,34.97,35.45,-70.05,46191.0325,9413.2575,42153.0275,38973.9825,46961435.0,20014.1675,44130.0275,9528.34,40039.54,39714.425,44689.0375,17882.23,43093315.0,9158.21,39110.92125,35426.82125,43245.9775,15785.25,43064.7575,8641.76,38965.9125,34994.65,43080.1825,12986.69,43604.9025,8267.17,40131.7525,34742.774999999994,43330025.0,11229.9925,44675.28,8224.8275,40834945.0,35847.3875,44166.9875,10135.5775,46854.4275,8361645.0,41583.9125,36675.5575,44959.0975,9251.1725,51533.92,8766.2225,44292.9775,37352.3475,47852.0225,8665015.0,56155.3025,10867.0375,47457.4325,38919295.0,51260575.0,9093.1375,58758995.0,13964.74,50758.7325,41041.2475,54404.4825,10010695.0,60402.7725,16618.697500000002,52879.17,43652.2025,56430.1675,10936.7675,61671.7225,18047745.0,54966295.0,45565.7825,57803015.0,11581.3425,60999.7925,18309.1,54279.45,46257.76,57182.9775,11905.87,59330.01,17719.5,52420.6475,45069.8275,54813.8925,11664.5125,57538.8675,16551.2075,51079815.0,41637.3925,52953.1175,10692.2125,57085.8175,15205855.0,50819.99,36606.4575,52752225.0,9686.552500000002,57610.5675,14929.225000000002,51965.6625,31500595.0,53411.52,8892.8825,60300.6175,17023.3925,55018.0975,29119.74,58041.2925,8734.99,61611.7325,19443.7525,56525735.0,28151255.0,59747.65,8981.19,60244.5025,21110.9825,55557.8625,27362.885,58455.28,9314695.0,56849.5475,21861.2475,52895.24,26561.74,54920.6525,9401.84,54427.4225,22262.745000000003,50882.2725,25770.2725,52873.7425,9372185.0,52943.28,21845245.0,49531.49,24995.7475,52485.3425,9362715.0,48687395.0,20637015.0,45945805.0,24324.57,48641.1525,9362.6275,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13.2,36.16,36.07,0.75,13.2,35.06,36.09,0.01,14.64,34.42,36.13,0.08,11.68,33.61,36.09,4.05,13.93,33.4,38.24,2.95,20.01,33.22,40.66,18.09,21.87,33.73,52.97,28.42,24.6,37.63,61.74,36.43,31.47,42.99,65.8,33.48,33.92,40.39,62.18,30.38,36.54,39.84,58.69,29.74,38.9,37.02,58.67,29.46,36.11,36.1,54.55,29.7,36.2,34.33,51.5,29.98,33.78,34.34,51.17,36.36,33.96,35.04,56.64,43.99,35.0,37.03,60.88,46.34,41.82,43.94,66.0,61.0,41.74,35.51,68.68,70.09,42.82,32.25,58.63,51.98,40.91,28.83,49.01,48.13,39.59,26.77,39.01,47.18,38.87,26.53,36.11,46.05,35.0,20.65,34.97,41.97,46961435.0,20014.1675,44730.8175,24779.5475,45343075.0,8952.2425,44689.0375,17882.23,43158.35,23857.1075,43775.15,9109.6975,43245.9775,15785.25,42379.82,23335.705,43200.6075,8659.3625,43080.1825,12986.69,42445.06,22778.5125,43786.0625,8508.022500000001,43330025.0,11229.9925,43670.7725,22193.595,45734.2375,7931.657499999999,44166.9875,10135.5775,46884.3125,21429.9975,49882.0625,7269.67,44959.0975,9251.1725,54865365.0,20605.9375,58405.8625,6584.192499999999,47852.0225,8665015.0,60997335.0,20296065.0,64703395.0,5955.057500000001,51260575.0,9093.1375,63505.9725,22705.0125,67680.7925,6631.6525,54404.4825,10010695.0,64325.19,26039.23,67847155.0,8177.6875,56430.1675,10936.7675,65273485.0,28993.3525,68599.8525,9568075.0,57803015.0,11581.3425,66492.9225,30795.72,69550.1925,10326995.0,57182.9775,11905.87,65513775.0,30994.5675,68955.2425,10194.1625,54813.8925,11664.5125,64579.6325,29318.4625,68210.6325,9125.9525,52953.1175,10692.2125,63110845.0,25599.807500000003,66814.98,7071775.0,52752225.0,9686.552500000002,62030.1525,20366445.0,65814.42,4281.35,53411.52,8892.8825,60019855.0,15585.8475,63696.8025,2074.2275,58041.2925,8734.99,60567.1625,14022.997499999998,64256905.0,1747.25,59747.65,8981.19,61878405.0,13330945.0,65383.28,1876.0975,58455.28,9314695.0,61401.3325,12624.9225,64610.1,2079.4325,54920.6525,9401.84,59113.0575,11872.62,61255105.0,2297.2475,52873.7425,9372185.0,56720.15,11203855.0,58697.7825,2562.1225,52485.3425,9362715.0,53546075.0,10734.0075,56148.2025,2855.3525,48641.1525,9362.6275,49335.7975,10380745.0,51783.88,3144.6275,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31.74,13.2,36.16,30.08,33.73,13.2,35.06,30.89,33.02,14.64,34.42,30.01,27.61,11.68,33.61,29.09,28.1,13.93,33.4,30.29,32.99,20.01,33.22,32.24,44.83,21.87,33.73,38.94,54.96,24.6,37.63,37.9,60.38,31.47,42.99,41.09,55.38,33.92,40.39,39.92,54.95,36.54,39.84,37.98,54.97,38.9,37.02,39.97,54.93,36.11,36.1,36.95,55.91,36.2,34.33,34.14,55.93,33.78,34.34,35.65,57.85,33.96,35.04,38.99,62.56,35.0,37.03,42.45,78.28,41.82,43.94,46.92,89.93,41.74,35.51,47.36,74.51,42.82,32.25,44.31,55.02,40.91,28.83,39.0,50.61,39.59,26.77,37.1,39.11,38.87,26.53,34.98,37.1,35.0,20.65,30.82,45343075.0,8952.2425,44794765.0,9560.11,47792.53,3626.9125,43775.15,9109.6975,42445.4175,9428.1375,46085845.0,4318.2775,43200.6075,8659.3625,41357.4175,9324.86,45407.1625,4377.68,43786.0625,8508.022500000001,41559.6175,8957985.0,45818.34,4703.842500000001,45734.2375,7931.657499999999,42684.7725,8796395.0,47503.4325,4944.76,49882.0625,7269.67,44433.3675,8597.5775,51160.9825,5093615.0,58405.8625,6584.192499999999,48068.0475,8382.397500000001,59503.2,5276195.0,64703395.0,5955.057500000001,51446.0675,8706.7,64443625.0,5523235.0,67680.7925,6631.6525,53575.5725,11007.5525,65794.8475,6713.257500000001,67847155.0,8177.6875,55400745.0,13841.5525,66337055.0,8695.232499999998,68599.8525,9568075.0,56686.08,16320.9625,67198.15,10554.6725,69550.1925,10326995.0,58411075.0,17960.2025,67910.3225,11607385.0,68955.2425,10194.1625,58758.0425,18386.3375,67396945.0,11553015.0,68210.6325,9125.9525,57064.7825,17718.12,66553.6725,10640985.0,66814.98,7071775.0,55406.3975,16060705.0,65524.29,8985.42,65814.42,4281.35,54788.1625,13906.56,64548455.0,6950015.0,63696.8025,2074.2275,54504.7125,12183.1675,63741435.0,5888.3475,64256905.0,1747.25,56237.23,11972.25,66163.3525,6404.1975,65383.28,1876.0975,57596.0975,12444.8625,66783.5525,7082715.0,64610.1,2079.4325,58194.4375,13035.3125,65360.9075,7423.9325,61255105.0,2297.2475,55149.96,13523.6625,61539.4,7216.1025,58697.7825,2562.1225,52592.81,13980.1725,58057.35,6768.27,56148.2025,2855.3525,50624285.0,14383.565,55466.6775,6161625.0,51783.88,3144.6275,47012.0275,14669.915,50873745.0,5510.7475,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36.63,31.74,13.2,26.91,35.05,33.73,13.2,23.06,36.87,33.02,14.64,22.27,36.02,27.61,11.68,22.97,37.04,28.1,13.93,26.66,34.43,32.99,20.01,27.03,49.77,44.83,21.87,29.07,59.26,54.96,24.6,31.0,64.37,60.38,31.47,36.06,55.07,55.38,33.92,35.16,54.94,54.95,36.54,32.37,54.92,54.97,38.9,33.08,53.93,54.93,36.11,29.79,54.94,55.91,36.2,29.06,56.93,55.93,33.78,29.18,66.75,57.85,33.96,30.01,65.58,62.56,35.0,36.93,81.56,78.28,41.82,42.49,82.3,89.93,41.74,43.93,64.2,74.51,42.82,41.97,53.94,55.02,40.91,36.52,46.94,50.61,39.59,30.07,41.7,39.11,38.87,27.02,37.86,37.1,35.0,18.97,47792.53,3626.9125,45179.8925,15567.6025,49428.6475,4685.7725,46085845.0,4318.2775,43151945.0,16133.5775,47611125.0,5002.63,45407.1625,4377.68,42178.1425,16349.990000000002,46878345.0,4413.09,45818.34,4703.842500000001,42302995.0,16513655.0,47346.9675,4025.9175,47503.4325,4944.76,43263.4,16528815.0,48741985.0,3863.975,51160.9825,5093615.0,44863.8525,16538.9125,52388.8725,3768545.0,59503.2,5276195.0,48459.1775,16535.6375,60288.29,3755.56,64443625.0,5523235.0,51689755.0,16711.072500000002,66504.3225,3779.3925,65794.8475,6713.257500000001,53490.4025,17781415.0,68370.1175,4368.21,66337055.0,8695.232499999998,55185.6625,19711.18,68744.82,5298.9425,67198.15,10554.6725,56673.1175,21936.6525,69693885.0,6050.36,67910.3225,11607385.0,58170.58,23705.0775,70611.5775,6286.985000000001,67396945.0,11553015.0,57801.0825,24608.24,70046.55,5867.594999999999,66553.6725,10640985.0,56146705.0,24429.38,69373.4875,4987385.0,65524.29,8985.42,54891785.0,22709.6,68127.13,3843695.0,64548455.0,6950015.0,54611.1675,19719335.0,67167825.0,2768.65,63741435.0,5888.3475,55179.26,17200.432500000003,66831.4725,2216.2275,66163.3525,6404.1975,57790.0775,16976.9875,69216.9925,2248415.0,66783.5525,7082715.0,59452.3125,17694.03,69449.65,2340.4525,65360.9075,7423.9325,58981.58,18444.1225,68038.61,2282395.0,61539.4,7216.1025,55696.4625,18927.5775,63937.0925,1971.1425,58057.35,6768.27,53157.1875,19424.1425,60243345.0,1622.55,55466.6775,6161625.0,51375155.0,19892.56,57662.8775,1288.8775,50873745.0,5510.7475,47594315.0,20216445.0,53060.9275,984.4575,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33.7,36.63,31.74,20.18,33.62,35.05,33.73,12.62,33.64,36.87,33.02,12.61,33.62,36.02,27.61,10.96,35.53,37.04,28.1,14.04,36.15,34.43,32.99,25.97,54.07,49.77,44.83,35.05,75.76,59.26,54.96,45.9,79.28,64.37,60.38,43.83,77.07,55.07,55.38,35.59,84.22,54.94,54.95,32.33,84.98,54.92,54.97,32.36,83.8,53.93,54.93,31.32,88.19,54.94,55.91,32.49,89.9,56.93,55.93,33.94,81.89,66.75,57.85,39.1,88.2,65.58,62.56,45.95,111.4,81.56,78.28,51.91,120.0,82.3,89.93,51.92,89.93,64.2,74.51,50.07,60.1,53.94,55.02,46.01,52.32,46.94,50.61,42.06,48.05,41.7,39.11,36.12,38.57,37.86,37.1,35.45,49428.6475,4685.7725,44448895.0,20653.730000000003,49143.85,776435.0,47611125.0,5002.63,43025675.0,20195.26,47306.4525,802935.0,46878345.0,4413.09,42567.0075,20510.135,46510.4025,880.55,47346.9675,4025.9175,43115.4825,20630.2175,46788.3825,1062.8425,48741985.0,3863.975,44838515.0,20222235.0,48231025.0,1446505.0,52388.8725,3768545.0,48994.6275,19672.9475,51640885.0,2043.5,60288.29,3755.56,58482935.0,19226805.0,58942.64,2811.9225,66504.3225,3779.3925,63062.6825,18970.3825,64818.0575,3858.5375,68370.1175,4368.21,63815.89,20580.6925,67390115.0,5654455.0,68744.82,5298.9425,64812.87,23428.79,67971725.0,8062.722500000001,69693885.0,6050.36,66167.0175,26276.910000000003,68953.3325,10589.9825,70611.5775,6286.985000000001,67294.26,28343.41,70061.4925,12530715.0,70046.55,5867.594999999999,66927.6725,28254.0775,69817485.0,13640.1325,69373.4875,4987385.0,66001755.0,26176.0525,69005.6725,13803.2625,68127.13,3843695.0,64271.99,22344325.0,67670135.0,12851.82,67167825.0,2768.65,63760145.0,17698.2875,66807475.0,11572705.0,66831.4725,2216.2275,63397755.0,14088.44,66560.9425,11044.2775,69216.9925,2248415.0,64581.5225,12813.7325,69410.06,11539.9475,69449.65,2340.4525,65867.77,12327.55,69477.0275,12476.3075,68038.61,2282395.0,64889.41,11797.3275,67715.5825,13103.3,63937.0925,1971.1425,61082515.0,10936015.0,63715.7175,13122.7175,60243345.0,1622.55,57661.2925,10014.9,60110995.0,13232.294999999998,57662.8775,1288.8775,54273.5275,9100.1975,57469625.0,13568.9175,53060.9275,984.4575,49732.08,8197.08,52801.1475,14064.19,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38.61,33.7,36.63,36.07,39.3,33.62,35.05,36.09,38.48,33.64,36.87,36.13,40.53,33.62,36.02,36.09,39.9,35.53,37.04,38.24,43.95,36.15,34.43,40.66,58.65,54.07,49.77,52.97,72.1,75.76,59.26,61.74,84.73,79.28,64.37,65.8,61.99,77.07,55.07,62.18,61.37,84.22,54.94,58.69,60.69,84.98,54.92,58.67,55.12,83.8,53.93,54.55,53.99,88.19,54.94,51.5,54.91,89.9,56.93,51.17,55.0,81.89,66.75,56.64,55.92,88.2,65.58,60.88,56.94,111.4,81.56,66.0,55.93,120.0,82.3,68.68,55.0,89.93,64.2,58.63,40.3,60.1,53.94,49.01,42.81,52.32,46.94,39.01,36.78,48.05,41.7,36.11,33.61,38.57,37.86,34.97,49143.85,776435.0,48203.86,5598.0675,49714.7125,14242.53,47306.4525,802935.0,45553895.0,4566.2425,47796855.0,15155.2825,46510.4025,880.55,44262.4625,3971.2575,47060.4025,16082835.0,46788.3825,1062.8425,44131.5925,3460.6130000000003,47426.4075,17212.5375,48231025.0,1446505.0,45249.1375,3066.6475,48895.3075,17670.885000000002,51640885.0,2043.5,48257.7975,2751.2787500000004,52289085.0,18429.9625,58942.64,2811.9225,55350.7325,2492.0550000000003,59854.59,19437.7925,64818.0575,3858.5375,62504.6125,2526.7225,65497.7975,20852595.0,67390115.0,5654455.0,65484.26,4047.86525,67698715.0,23128.300000000003,67971725.0,8062.722500000001,66864.3925,6706.9945,68315415.0,25780.545,68953.3325,10589.9825,67629.9325,9295.1175,69594.0,28526.2425,70061.4925,12530715.0,68558.13,11102.0775,70551615.0,30666.6175,69817485.0,13640.1325,67933025.0,11767.775,69797655.0,32101.035,69005.6725,13803.2625,66791.2625,11260.42,68299.6375,32723.0625,67670135.0,12851.82,64972.5225,9595885.0,66429.2875,32566595.0,66807475.0,11572705.0,63766.7525,7008.5275,65512.06,32240.2225,66560.9425,11044.2775,63425.0725,5098.8,65552.08,31919.6525,69410.06,11539.9475,63741235.0,5492.1425,68354.9725,31767.7575,69477.0275,12476.3075,65481.4525,6611.05,68215.53,31484.7675,67715.5825,13103.3,64297735.0,7651455.0,66368.8,31098.97,63715.7175,13122.7175,60591.9475,8295475.0,62400325.0,30537795.0,60110995.0,13232.294999999998,57036.48,8813.2925,59036.36,29923.905,57469625.0,13568.9175,54266.26,9081.4425,56651.35,29315195.0,52801.1475,14064.19,50419.5225,9042475.0,52063.04,28782.1675,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26.41,38.61,33.7,36.16,25.35,39.3,33.62,35.06,26.6,38.48,33.64,34.42,27.31,40.53,33.62,33.61,27.1,39.9,35.53,33.4,28.92,43.95,36.15,33.22,40.15,58.65,54.07,33.73,51.2,72.1,75.76,37.63,47.41,84.73,79.28,42.99,38.61,61.99,77.07,40.39,38.89,61.37,84.22,39.84,38.79,60.69,84.98,37.02,35.25,55.12,83.8,36.1,31.16,53.99,88.19,34.33,30.16,54.91,89.9,34.34,30.12,55.0,81.89,35.04,31.02,55.92,88.2,37.03,36.19,56.94,111.4,43.94,36.02,55.93,120.0,35.51,31.08,55.0,89.93,32.25,29.39,40.3,60.1,28.83,22.26,42.81,52.32,26.77,15.51,36.78,48.05,26.53,11.46,33.61,38.57,20.65,49714.7125,14242.53,46191.0325,9413.2575,49568.1675,29751755.0,47796855.0,15155.2825,44130.0275,9528.34,47515.6875,28571165.0,47060.4025,16082835.0,43093315.0,9158.21,46288.27,28083.28,47426.4075,17212.5375,43064.7575,8641.76,46149.6425,27340.4775,48895.3075,17670.885000000002,43604.9025,8267.17,46277.9475,26550.2075,52289085.0,18429.9625,44675.28,8224.8275,46769.37,26185.2525,59854.59,19437.7925,46854.4275,8361645.0,48734.5,25888645.0,65497.7975,20852595.0,51533.92,8766.2225,52386.2125,25715.49,67698715.0,23128.300000000003,56155.3025,10867.0375,56087.1525,26852.1025,68315415.0,25780.545,58758995.0,13964.74,58784.6225,28716.335000000003,69594.0,28526.2425,60402.7725,16618.697500000002,60378.82,30226.565,70551615.0,30666.6175,61671.7225,18047745.0,60892.7925,30487.35,69797655.0,32101.035,60999.7925,18309.1,60139.78,29503.735,68299.6375,32723.0625,59330.01,17719.5,58219755.0,27749.06,66429.2875,32566595.0,57538.8675,16551.2075,56660.5325,25468.1725,65512.06,32240.2225,57085.8175,15205855.0,56217.7475,23154.6875,65552.08,31919.6525,57610.5675,14929.225000000002,56971565.0,21298.49,68354.9725,31767.7575,60300.6175,17023.3925,60806685.0,20261.32,68215.53,31484.7675,61611.7325,19443.7525,61741315.0,19613.3775,66368.8,31098.97,60244.5025,21110.9825,60084.1775,18856985.0,62400325.0,30537795.0,56849.5475,21861.2475,56099275.0,18027595.0,59036.36,29923.905,54427.4225,22262.745000000003,53369.0125,17387965.0,56651.35,29315195.0,52943.28,21845245.0,52431.2125,16889.73,52063.04,28782.1675,48687395.0,20637015.0,48690235.0,16565535.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9.2,26.41,38.61,13.2,2.03,25.35,39.3,13.2,0.08,26.6,38.48,14.64,6.47,27.31,40.53,11.68,11.27,27.1,39.9,13.93,12.59,28.92,43.95,20.01,9.63,40.15,58.65,21.87,13.55,51.2,72.1,24.6,20.1,47.41,84.73,31.47,24.66,38.61,61.99,33.92,21.47,38.89,61.37,36.54,18.9,38.79,60.69,38.9,21.03,35.25,55.12,36.11,22.86,31.16,53.99,36.2,28.2,30.16,54.91,33.78,30.48,30.12,55.0,33.96,35.81,31.02,55.92,35.0,44.49,36.19,56.94,41.82,46.76,36.02,55.93,41.74,41.03,31.08,55.0,42.82,35.92,29.39,40.3,40.91,35.82,22.26,42.81,39.59,37.06,15.51,36.78,38.87,28.29,11.46,33.61,35.0,49568.1675,29751755.0,46961435.0,20014.1675,45808.26,17216.4375,47515.6875,28571165.0,44689.0375,17882.23,43694.3,16552.1025,46288.27,28083.28,43245.9775,15785.25,42544515.0,16604.17,46149.6425,27340.4775,43080.1825,12986.69,42278.4675,16577.5525,46277.9475,26550.2075,43330025.0,11229.9925,42436.73,15955.0825,46769.37,26185.2525,44166.9875,10135.5775,42330965.0,15109105.0,48734.5,25888645.0,44959.0975,9251.1725,42557.52,14012.170000000002,52386.2125,25715.49,47852.0225,8665015.0,44799.2075,12721.2125,56087.1525,26852.1025,51260575.0,9093.1375,47969815.0,11905215.0,58784.6225,28716.335000000003,54404.4825,10010695.0,51726.5125,11380.935,60378.82,30226.565,56430.1675,10936.7675,54140715.0,10907395.0,60892.7925,30487.35,57803015.0,11581.3425,56303.62,10393.1225,60139.78,29503.735,57182.9775,11905.87,55994.38,9469.5625,58219755.0,27749.06,54813.8925,11664.5125,54146.1775,8497425.0,56660.5325,25468.1725,52953.1175,10692.2125,52465235.0,7737455.0,56217.7475,23154.6875,52752225.0,9686.552500000002,52173.07,7224.94,56971565.0,21298.49,53411.52,8892.8825,53308275.0,7191.327499999999,60806685.0,20261.32,58041.2925,8734.99,57063.1,7614.172499999999,61741315.0,19613.3775,59747.65,8981.19,58268.16,8364225.0,60084.1775,18856985.0,58455.28,9314695.0,57134.2975,8922.039999999999,56099275.0,18027595.0,54920.6525,9401.84,54416.4325,9160445.0,53369.0125,17387965.0,52873.7425,9372185.0,52682.17,9493.35,52431.2125,16889.73,52485.3425,9362715.0,52508.7875,9867.3275,48690235.0,16565535.0,48641.1525,9362.6275,49075.6975,10349.2575,0.0,0.0,0.0,0.0,0.0,0.0,1.0
