,Price,Exogenous 1,Exogenous 2
2020-10-23 00:00:00,,49227.1125,22615.4575
2020-10-23 01:00:00,,46802.1625,20903.870000000003
2020-10-23 02:00:00,,45859.0825,19452.93
2020-10-23 03:00:00,,46131.8825,18103925.0
2020-10-23 04:00:00,,47574.9175,16671.9975
2020-10-23 05:00:00,,50845.7675,15140.4275
2020-10-23 06:00:00,,58400.42,13894.4325
2020-10-23 07:00:00,,64461.2,12552.7575
2020-10-23 08:00:00,,66891.3675,11628.86
2020-10-23 09:00:00,,67308.71,11877.6825
2020-10-23 10:00:00,,68125.3075,12920125.0
2020-10-23 11:00:00,,69201.1525,13920615.0
2020-10-23 12:00:00,,68712.56,14163475.0
2020-10-23 13:00:00,,67315475.0,13599.4725
2020-10-23 14:00:00,,65433415.0,12469.6525
2020-10-23 15:00:00,,64431.4475,10946.0425
2020-10-23 16:00:00,,63386975.0,9332515.0
2020-10-23 17:00:00,,64030.2475,8362.7425
2020-10-23 18:00:00,,65180525.0,8943.0175
2020-10-23 19:00:00,,64864295.0,10462.45
2020-10-23 20:00:00,,61470.1725,12083.325
2020-10-23 21:00:00,,57186155.0,13330.36
2020-10-23 22:00:00,,54277.05,14284.345
2020-10-23 23:00:00,,50651.4925,15207.99
