,Price,Exogenous 1,Exogenous 2
2015-01-01 00:00:00,25.02,41841.89225,8364.60525
2015-01-01 01:00:00,18.29,39969675.0,8624.796999999999
2015-01-01 02:00:00,16.04,38813.2625,8789.85025
2015-01-01 03:00:00,14.6,38489915.0,8928.38125
2015-01-01 04:00:00,14.95,38643.5675,9111654.0
2015-01-01 05:00:00,14.5,38773335.0,9348945.0
2015-01-01 06:00:00,10.76,37247.33,9605.83075
2015-01-01 07:00:00,12.01,40371385.0,9956.59
2015-01-01 08:00:00,12.39,42521965.0,10421.1055
2015-01-01 09:00:00,14.04,45020.08,11359.89225
2015-01-01 10:00:00,14.68,47101.04,12692.18675
2015-01-01 11:00:00,16.08,49603.1675,13651.4365
2015-01-01 12:00:00,16.08,49909785.0,14119.4535
2015-01-01 13:00:00,16.05,47527.9725,14057.96225
2015-01-01 14:00:00,16.04,47096.76,13433.22725
2015-01-01 15:00:00,16.1,47383.2025,12756.0895
2015-01-01 16:00:00,23.93,48935.9125,12744.2965
2015-01-01 17:00:00,26.9,52287.9025,13375.13375
2015-01-01 18:00:00,26.36,53367.3275,14231.3375
2015-01-01 19:00:00,23.98,52598.9925,15130.9475
2015-01-01 20:00:00,16.09,50020.3425,16303.1675
2015-01-01 21:00:00,14.08,48096.3075,17679545.0
2015-01-01 22:00:00,12.44,47803.3575,19052.72
2015-01-01 23:00:00,0.04,44875875.0,20371215.0
2015-01-02 00:00:00,-12.11,40078.2475,22953.0155
2015-01-02 01:00:00,-19.63,38711.4375,24709503.0
2015-01-02 02:00:00,-19.37,37819.9275,25574.88575
2015-01-02 03:00:00,-31.41,37828.2375,26322.1115
2015-01-02 04:00:00,-46.97,38924.74,26976.1075
2015-01-02 05:00:00,-13.48,40502645.0,27550.95575
2015-01-02 06:00:00,0.08,43400.2575,27871922.0
2015-01-02 07:00:00,10.06,49039.6425,27892.58975
2015-01-02 08:00:00,14.25,51539.9625,27922.0685
2015-01-02 09:00:00,14.56,53132.8425,28184.64175
2015-01-02 10:00:00,14.64,54445.7575,28411.14725
2015-01-02 11:00:00,15.08,55685.47,28578.74075
2015-01-02 12:00:00,15.41,55626.61,28494.138000000003
2015-01-02 13:00:00,14.52,53698095.0,28006.32325
2015-01-02 14:00:00,14.7,53314595.0,27143.75725
2015-01-02 15:00:00,14.66,53275145.0,26116.43425
2015-01-02 16:00:00,16.09,54490.8375,25592.71775
2015-01-02 17:00:00,25.1,57232.7625,25468.85125
2015-01-02 18:00:00,25.06,57267675.0,25336.5925
2015-01-02 19:00:00,19.08,55583.5975,25207949.0
2015-01-02 20:00:00,14.26,51783.64,25014415.0
2015-01-02 21:00:00,12.22,47797.61,24737.3175
2015-01-02 22:00:00,10.4,45972475.0,24483315.0
2015-01-02 23:00:00,-0.33,44474.05,24226785.0
2015-01-03 00:00:00,-0.08,42341.3425,23948.22325
2015-01-03 01:00:00,-0.07,40962.74,23957.47175
2015-01-03 02:00:00,-5.03,39777215.0,23250.4165
2015-01-03 03:00:00,0.01,39824.5425,22506.20225
2015-01-03 04:00:00,-0.04,40220.6575,21880461.0
2015-01-03 05:00:00,0.03,40012.6125,21642.18625
2015-01-03 06:00:00,-8.67,40212905.0,21620013.0
2015-01-03 07:00:00,4.46,42881.45,21636.32725
2015-01-03 08:00:00,9.9,46555.99,21686.1895
2015-01-03 09:00:00,14.29,49657.58,22268.44875
2015-01-03 10:00:00,16.73,51738.37,22955.78875
2015-01-03 11:00:00,22.31,52963065.0,23007.24
2015-01-03 12:00:00,23.03,52562.6175,22275.1775
